Datetime,Open,High,Low,Close,intvwap,Volume,v
06-02-2023 09:15,1658.95,1667,1649.35,1666.5,1660.72,1141396,1141396
06-02-2023 09:30,1666.25,1669,1658.75,1665.3,1664.8,629967,1771363
06-02-2023 09:45,1666,1669.3,1661.9,1664.5,1666.13,244020,2015383
06-02-2023 10:00,1664.85,1666,1660.15,1662,1663.09,204462,2219845
06-02-2023 10:15,1661.95,1662,1652.1,1653.75,1656.54,179557,2399402
06-02-2023 10:30,1654,1655.3,1648.05,1652,1651.42,199500,2598902
06-02-2023 10:45,1652.35,1653,1646.2,1651.15,1649.97,116440,2715342
06-02-2023 11:00,1651.1,1653.75,1648.55,1650,1651.22,110854,2826196
06-02-2023 11:15,1649.15,1653.55,1649.15,1651.35,1651.6,91488,2917684
06-02-2023 11:30,1651.25,1652.25,1647.25,1649.9,1649.73,88595,3006279
06-02-2023 11:45,1649.8,1652,1648.05,1651.85,1649.79,85300,3091579
06-02-2023 12:00,1650.8,1653,1648.35,1649.1,1650.93,102472,3194051
06-02-2023 12:15,1649.2,1651.05,1646.5,1649.45,1649.19,144092,3338143
06-02-2023 12:30,1649.5,1652.7,1648,1649.95,1650.13,138033,3476176
06-02-2023 12:45,1649.9,1654.9,1648.1,1654.2,1651.69,147045,3623221
06-02-2023 13:00,1654.15,1656.6,1652.2,1652.9,1654.06,150815,3774036
06-02-2023 13:15,1652.95,1656,1652.65,1653.55,1654.18,148477,3922513
06-02-2023 13:30,1653.8,1658,1652.25,1656.85,1655.54,166626,4089139
06-02-2023 13:45,1656.75,1658,1652.7,1656.35,1655.89,192911,4282050
06-02-2023 14:00,1656.3,1658,1653,1655.6,1655.41,245659,4527709
06-02-2023 14:15,1655.55,1656.4,1653,1654.6,1655.06,198730,4726439
06-02-2023 14:30,1654.65,1655.4,1652.65,1653.85,1654.35,136061,4862500
06-02-2023 14:45,1653.45,1656,1653.2,1656,1654.52,118200,4980700
06-02-2023 15:00,1656.1,1658,1650.7,1651.05,1653.27,293353,5274053
06-02-2023 15:15,1651.25,1659.4,1648.3,1659.4,1650.31,309099,17009
07-02-2023 09:15,1658.85,1659.65,1651,1658.1,1655.83,450662,467671
07-02-2023 09:30,1658,1661,1654.75,1657.5,1657.72,241759,709430
07-02-2023 09:45,1657.6,1657.7,1653,1654.55,1654.99,147565,856995
07-02-2023 10:00,1654.45,1656.65,1652,1654.65,1654.83,136405,993400
07-02-2023 10:15,1654.25,1654.65,1649,1651.3,1650.99,157949,1151349
07-02-2023 10:30,1650.85,1654,1649.6,1652.95,1651.99,87448,1238797
07-02-2023 10:45,1653,1655,1651.45,1654.55,1653.09,90404,1329201
07-02-2023 11:00,1654.85,1655,1653,1654.9,1654.25,92847,1422048
07-02-2023 11:15,1654.4,1655,1648.25,1648.5,1651.67,127270,1549318
07-02-2023 11:30,1648.25,1650.6,1646.1,1646.15,1648.73,166917,1716235
07-02-2023 11:45,1646.4,1648.6,1645.75,1646.25,1647.05,125229,1841464
07-02-2023 12:00,1646.3,1648.05,1643.5,1643.5,1646.03,138022,1979486
07-02-2023 12:15,1643.55,1643.55,1640,1640.1,1641.41,163057,2142543
07-02-2023 12:30,1640.15,1641.25,1638.2,1640.9,1639.64,153459,2296002
07-02-2023 12:45,1640.75,1641.85,1635.4,1636.05,1638.18,164173,2460175
